# Theta: 1.18271
# Slit 1 (h x w): 0.772 x 20
# Slit 2 (h x w): 0.49328 x 20.0002
# Q, wavelength, counts/mC, error
0.0454894 5.70198 5972.69 182.25
0.0463992 5.59018 6552.47 190.508
0.0473272 5.48057 6940.38 195.678
0.0482737 5.37311 7803.69 207.088
0.0492392 5.26775 7850.49 207.311
0.050224 5.16446 8393.61 213.958
0.0512285 5.0632 8623.34 216.465
0.0522531 4.96392 9035.85 221.177
0.0532981 4.86659 9753.28 229.378
0.0543641 4.77117 10299.4 235.296
0.0554514 4.67761 10140.5 233.068
0.0565604 4.5859 9897.62 229.867
0.0576916 4.49598 10188.9 232.833
0.0588454 4.40782 10160.5 232.124
0.0600223 4.32139 10513.4 235.735
0.0612228 4.23666 10664.2 237.04
0.0624472 4.15359 10919.5 239.483
0.0636962 4.07214 10372.6 233.048
0.0649701 3.9923 9683.3 224.829
0.0662695 3.91402 10138.4 229.706
0.0675949 3.83727 10560 234.089
0.0689468 3.76203 10922.7 237.731
0.0703257 3.68827 11257.9 241.008
0.0717322 3.61595 11627.8 244.592
0.0731669 3.54505 11780.5 245.855
0.0746302 3.47554 11569.6 243.314
0.0761228 3.40739 11967.5 247.135
0.0776453 3.34058 12654 253.792
0.0791982 3.27507 12073.2 247.58
0.0807822 3.21086 12468.1 251.28
0.0823978 3.1479 12755.5 253.843
0.0840458 3.08618 12638.7 252.371
0.0857267 3.02566 12437.5 250.054
0.0874412 2.96634 12408.2 249.465
0.08919 2.90817 12524.6 250.342
0.0909738 2.85115 11927 244.019
0.0927933 2.79524 11760.9 242.043
0.0946492 2.74044 11894.1 243.143
0.0965422 2.6867 12295 246.94
0.098473 2.63402 11689.9 240.531
